term,thai,kind,definition,related_term,relation
Appendicitis,ไส้ติ่งอักเสบ,disease,ไส้ติ่งอักเสบเฉียบพลัน ปวดท้องน้อยขวา คลื่นไส้ และไข้ อาจต้องผ่าตัด,Appendectomy,treated_by
Appendectomy,ผ่าตัดไส้ติ่ง,procedure,การผ่าตัดนำไส้ติ่งออก ใช้รักษาไส้ติ่งอักเสบ,Appendicitis,treats
Endoscopy,ส่องกล้องทางเดินอาหาร,procedure,การส่องกล้องดูหลอดอาหาร กระเพาะ และลำไส้เล็กส่วนต้น เพื่อวินิจฉัยหรือห้ามเลือด,Hematemesis,used_for
Seizure,ชัก,symptom,การทำงานของสมองผิดจังหวะจนมีการกระตุกหรือเปลี่ยนระดับความรู้สึกตัว,Epilepsy,occurs_in
Epilepsy,โรคลมชัก,disease,โรคทางสมองที่มีการชักซ้ำโดยไม่มีสาเหตุกระตุ้นชั่วคราว,Seizure,characterized_by
Meningitis,เยื่อหุ้มสมองอักเสบ,disease,เยื่อหุ้มสมองอักเสบ มักมีไข้ ปวดศีรษะ คอแข็ง และอาจซึม,Infection,type_of
Fracture,กระดูกหัก,disease,กระดูกเสียความต่อเนื่องจากแรงกระแทก มีปวด บวม และผิดรูป,Edema,presents_with
NPO,งดน้ำงดอาหาร,abbreviation,คำสั่งให้งดกินและดื่มชั่วคราว ก่อนผ่าตัดหรือเมื่อเสี่ยงสำลัก,Endoscopy,required_before
PRN,ให้เมื่อมีอาการ,abbreviation,ให้ยาหรือการพยาบาลเมื่อผู้ป่วยมีอาการ ไม่ได้ให้ตามเวลาตายตัว,Pain,given_for
BID,วันละสองครั้ง,abbreviation,ความถี่ให้ยาสองครั้งต่อวัน มักเช้าและเย็น,TID,related_to
TID,วันละสามครั้ง,abbreviation,ความถี่ให้ยาสามครั้งต่อวัน,BID,related_to
IV,ฉีดเข้าหลอดเลือดดำ,abbreviation,เส้นทางให้สารน้ำหรือยาเข้าหลอดเลือดดำโดยตรง,IM,alternative_to
IM,ฉีดเข้ากล้ามเนื้อ,abbreviation,เส้นทางฉีดยาเข้ากล้ามเนื้อ เช่น สะโพกหรือต้นแขน,IV,alternative_to
CBC,ความสมบูรณ์ของเม็ดเลือด,abbreviation,การตรวจนับเม็ดเลือดแดง เม็ดเลือดขาว ฮีโมโกลบิน และเกล็ดเลือด,Anemia,used_to_detect
BMI,ดัชนีมวลกาย,abbreviation,ค่าน้ำหนักเทียบส่วนสูง ใช้ประเมินน้ำหนักเกินหรือต่ำกว่าเกณฑ์,Diabetes mellitus,risk_marker
Pain,อาการปวด,symptom,ความรู้สึกไม่สบายที่ผู้ป่วยบอกได้ ต้องถามตำแหน่ง ลักษณะ ระยะเวลา และสิ่งที่กระตุ้น,PRN,may_need
Fever,ไข้,sign,อุณหภูมิร่างกายสูงกว่าปกติ เป็นสัญญาณการอักเสบหรือติดเชื้อที่พบบ่อย,Infection,suggests
Syncope,เป็นลม,symptom,หมดสติชั่วคราวจากการไหลเวียนสมองลดลง ต้องแยกจากชักและปัญหาหัวใจ,Hypotension,may_cause
Polyuria,ปัสสาวะมาก,symptom,ปัสสาวะปริมาณมาก พบในเบาหวานที่ไม่ควบคุมหรือได้รับยาขับปัสสาวะ,Diabetes mellitus,common_in
Polydipsia,กระหายน้ำมาก,symptom,กระหายน้ำผิดปกติ มักคู่กับปัสสาวะมากในเบาหวาน,Diabetes mellitus,common_in
